bucket,pdf
132,1.9043360904808036E-4
133,2.069930533131308E-4
134,3.4774832956605976E-4
135,2.6495110824080746E-4
136,2.815105525058579E-4
137,2.318322197107065E-4
138,2.2355249757818128E-4
139,2.815105525058579E-4
140,2.9806999677090836E-4
141,2.318322197107065E-4
142,2.9806999677090836E-4
143,3.146294410359588E-4
144,3.2290916316848406E-4
145,2.4011194184323173E-4
146,3.063497189034336E-4
147,1.6559444265050466E-4
148,2.1527277544565603E-4
149,3.063497189034336E-4
150,2.6495110824080746E-4
151,2.815105525058579E-4
152,1.821538869155551E-4
153,1.9871333118060558E-4
154,2.069930533131308E-4
155,2.7323083037333266E-4
156,2.069930533131308E-4
157,2.4011194184323173E-4
158,1.821538869155551E-4
159,1.9871333118060558E-4
160,2.318322197107065E-4
161,2.2355249757818128E-4
162,1.9043360904808036E-4
163,2.1527277544565603E-4
164,2.2355249757818128E-4
165,2.566713861082822E-4
166,1.821538869155551E-4
167,1.7387416478302988E-4
168,2.4011194184323173E-4
169,2.566713861082822E-4
170,2.2355249757818128E-4
171,2.2355249757818128E-4
172,1.821538869155551E-4
173,2.4011194184323173E-4
174,1.9043360904808036E-4
175,1.821538869155551E-4
176,2.4839166397575696E-4
177,1.6559444265050466E-4
178,1.0763638772282802E-4
179,1.6559444265050466E-4
180,1.4903499838545418E-4
181,1.6559444265050466E-4
182,1.7387416478302988E-4
183,1.0763638772282802E-4
184,1.9043360904808036E-4
185,1.4903499838545418E-4
186,1.9871333118060558E-4
187,1.9043360904808036E-4
188,1.821538869155551E-4
189,1.573147205179794E-4
190,1.6559444265050466E-4
191,2.318322197107065E-4
192,1.6559444265050466E-4
193,1.6559444265050466E-4
194,2.318322197107065E-4
195,1.2419583198787848E-4
196,1.7387416478302988E-4
197,2.069930533131308E-4
198,2.069930533131308E-4
199,1.9871333118060558E-4
200,1.821538869155551E-4
201,1.4075527625292896E-4
202,1.0763638772282802E-4
203,1.3247555412040373E-4
204,1.4075527625292896E-4
205,1.573147205179794E-4
206,2.1527277544565603E-4
207,1.4903499838545418E-4
208,1.7387416478302988E-4
209,1.7387416478302988E-4
210,1.821538869155551E-4
211,1.2419583198787848E-4
212,1.1591610985535325E-4
213,2.318322197107065E-4
214,1.0763638772282802E-4
215,1.4075527625292896E-4
216,9.107694345777755E-5
217,1.4075527625292896E-4
218,1.0763638772282802E-4
219,1.1591610985535325E-4
220,1.7387416478302988E-4
221,9.107694345777755E-5
222,1.9871333118060558E-4
223,1.573147205179794E-4
224,1.7387416478302988E-4
225,1.573147205179794E-4
226,1.4075527625292896E-4
227,9.107694345777755E-5
228,1.7387416478302988E-4
229,1.1591610985535325E-4
230,1.2419583198787848E-4
231,1.6559444265050466E-4
232,1.6559444265050466E-4
233,1.1591610985535325E-4
234,1.2419583198787848E-4
235,1.3247555412040373E-4
236,1.3247555412040373E-4
237,9.935666559030279E-5
238,1.6559444265050466E-4
239,2.1527277544565603E-4
240,1.0763638772282802E-4
241,9.935666559030279E-5
242,1.0763638772282802E-4
243,1.4903499838545418E-4
244,1.3247555412040373E-4
245,9.107694345777755E-5
246,9.107694345777755E-5
247,1.2419583198787848E-4
248,5.795805492767663E-5
249,1.0763638772282802E-4
250,1.573147205179794E-4
251,8.279722132525233E-5
252,1.4903499838545418E-4
253,1.0763638772282802E-4
254,1.0763638772282802E-4
255,1.573147205179794E-4
256,8.279722132525233E-5
257,1.4903499838545418E-4
258,9.107694345777755E-5
259,1.2419583198787848E-4
260,9.935666559030279E-5
261,1.4903499838545418E-4
262,1.3247555412040373E-4
263,1.3247555412040373E-4
264,9.107694345777755E-5
